codevehicule,nom,fabricant,immat,observ,statut,motif,vidange,marge,total,image,image_avant,image_droite,image_gauche,descr,codetvehicule,codecvehicule,codesecteur,datecreated,dateupdated,etat,card,ord,image_arriere,pvidange,datelimassur,datelimvisite,datelimcarteg,datelimstat,fichier1,fichier2,fichier3,fichier4,fichier5,fichier6,fichier7,fichier8,details,position,longitude,latitude,prixpjour,prixpheure,prixpkm,location,reservation,dpc,garage,transmat,agentchauffeur,timecreated,timeupdated
vehic982024000000005,HARDBODY,NISSAN,LT 470 IY,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi672024000000001,,2024-08-09,2024-08-11,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:20:17
vehic982024000000006,HARDBODY,NISSAN,LT 496 IZ,,1,,10000,200,97370,binary data,binary data,binary data,binary data,,tvehi294202400000002,cvehi294202400000001,secte317202400000003,2024-08-09,2024-08-18,1,4,6,binary data,3992.0,,,,,,,,,,,,,,,,,,,,,,,,,agent982024000000003,11:28:13,17:57:50
vehic982024000000007,HARDBODY,NISSAN,LT 011 JD,,4,,10000,200,149693,binary data,binary data,binary data,binary data,,tvehi294202400000002,cvehi294202400000001,secte317202400000003,2024-08-09,2024-10-21,2,39,7,binary data,56315.0,2024-11-08,2025-03-06,2024-12-04,2024-12-30,,,,,,,,,,,,,,,,,,,,,agent982024000000004,11:28:13,11:08:35
vehic982024000000008,HARDBODY,NISSAN,AD 248 AP,,1,,10000,200,93378,binary data,binary data,binary data,binary data,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-08-09,1,0,8,binary data,,,,,,,,,,,,,,,,,,,,,,,,,,agent117202400000001,11:28:13,19:02:10
vehic982024000000009,HARDBODY,NISSAN,CE 024 NE,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,9,,,2024-12-14,2025-03-18,2024-12-04,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,12:12:30
vehic982024000000010,HARDBODY,NISSAN,AD 687 AP,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-08-11,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:19:07
vehic982024000000011,HARDBODY,NISSAN,AD 965 AP,,1,,10000,200,93378,binary data,binary data,binary data,binary data,,tvehi294202400000002,cvehi294202400000001,secte317202400000003,2024-08-09,2024-08-18,1,2,11,binary data,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:58:25
vehic982024000000012,HARDBODY,NISSAN,AD 338 AQ,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,12,,,2024-12-14,2025-03-05,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,agent108202400000001,11:28:13,14:47:04
vehic982024000000013,HARDBODY,NISSAN,CE 226 LL,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,13,,,2024-11-08,2025-02-22,2024-12-27,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,14:47:56
vehic982024000000014,HARDBODY,NISSAN,CE 750 MW,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,14,,,2024-11-08,2025-02-07,2025-01-03,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:38:14
vehic982024000000015,HARDBODY,NISSAN,CE 811 MZ,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,15,,,2024-11-08,2025-02-28,2025-01-15,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:42:07
