codevehicule,nom,fabricant,immat,observ,statut,motif,vidange,marge,total,image,image_avant,image_droite,image_gauche,descr,codetvehicule,codecvehicule,codesecteur,datecreated,dateupdated,etat,card,ord,image_arriere,pvidange,datelimassur,datelimvisite,datelimcarteg,datelimstat,fichier1,fichier2,fichier3,fichier4,fichier5,fichier6,fichier7,fichier8,details,position,longitude,latitude,prixpjour,prixpheure,prixpkm,location,reservation,dpc,garage,transmat,agentchauffeur,timecreated,timeupdated
vehic982024000000070,CRANE TEREX RT 230,CRANE,CESE 208 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-10-23,1,0,70,,,2024-11-08,,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:05:46
vehic982024000000071,SMALL COMPACTOR BOOMAG 1,SMALL,CESE 491 BD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-23,1,0,71,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,09:51:03
vehic982024000000072,SMALL COMPACTOR BOOMAG 2,SMALL,CESE 501 BD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-23,1,0,72,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,09:47:33
vehic982024000000073,MOTO BIKE 1,MOTO,ENMT 326 CI,,1,,10000,200,93378,binary data,,,,,tvehi982024000000001,cvehi982024000000001,,2024-08-09,2024-10-23,1,0,73,,,2024-11-08,,2023-12-06,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:40:50
vehic982024000000074,MOTO BIKE 2,MOTO,CEMT 446 FT,,1,,10000,200,93378,binary data,,,,,tvehi982024000000001,cvehi982024000000001,,2024-08-09,2024-10-23,1,0,74,,,2024-11-08,,2024-10-24,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:41:32
vehic982024000000075,MOTO BIKE 3 (PROCUREMENT DOUALA),MOTO,LTMT 837 EG,,1,,10000,200,93378,binary data,,,,,tvehi982024000000001,cvehi982024000000001,,2024-08-09,2024-08-11,1,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:10:01
vehic982024000000076,MOTO BIKE 4  (MECHANIC DOUALA),MOTO,CEMT 715 E0,,1,,10000,200,93378,binary data,,,,,tvehi982024000000001,cvehi982024000000001,,2024-08-09,2024-08-11,1,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:10:28
vehic982024000000077,TRICYCLE,TRICYCLE,LTMT 881 EP,,1,,10000,200,93378,binary data,,,,,tvehi982024000000001,cvehi294202400000001,,2024-08-09,2024-08-11,1,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:17:03
vehic982024000000078,MOTO ELECTRIC BIKE 1,MOTO,LTMT 101 ES,,1,,10000,200,93378,binary data,,,,,tvehi982024000000001,cvehi982024000000001,,2024-08-09,2024-08-09,1,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,16:22:39
vehic982024000000079,MOTO ELECTRIC BIKE 2,MOTO,LTMT 102 ES,,1,,10000,200,93378,binary data,binary data,,binary data,,tvehi982024000000001,cvehi982024000000001,,2024-08-09,2024-08-10,1,0,79,binary data,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,08:03:49
vehic982024000000080,MOTO ELECTRIC BIKE 3,MOTO,CEMT 555 FJ,,1,,10000,200,93378,binary data,,,,,tvehi982024000000001,cvehi982024000000001,,2024-08-09,2024-10-23,1,0,80,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:07:01
