codeintervention,niveau,lieu,longitude,latitude,probleme,imagepro1,imagepro2,solution,piecejointe,datedebrepa,datefinrepa,reparation,imagerepa1,imagerepa2,motif,record,agentresponsable,agentoperationnel,agentreparation,codecintervention,codeprojet,datecreated,dateupdated,etat,card,ord,motifsuspension,operateur,codesoustraitant,datedeb,duree,dateinterv,imagepro3,imagepro4,imagepro5,imagepro6,imagepro7,imagepro8,imagepro9,imagepro10,imagerepa3,imagerepa4,imagerepa5,imagerepa6,imagerepa7,imagerepa8,imagerepa9,imagerepa10,timecreated,timeupdated,timedebrepa,timefinrepa,timedeb,timeinterv
intrv171020240000001,False,TR1 parc à bois,0,0,Disjoncteur nish eneo défecteus,binary data,binary data,Remplacement disjoncteur( 4 pôles C120H C100A) défectues de la nish eneo.Test et remise en service : OK,,NaT,NaT,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr137202400000001,projt572024000000001,2024-10-17,2024-10-17,2,0,138,,0.0,,2024-10-17,1 day,2024-10-18,,,,,,,,,,,,,,,,,16:40:58,16:40:58,,,16:35:00,16:35:00
intrv171020240000002,False,Générateur TR1 parc à bois,0,0,Vidange générateur,binary data,binary data,"Vidange générateur(remplacement filtre à huile,filtre à gasoil et huile moteur 15W40) essai à vide et en charge.vérification des différents paramèmetres.",,NaT,NaT,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr137202400000001,projt572024000000001,2024-10-17,2024-10-17,2,0,139,,0.0,,2024-10-17,1 day,2024-10-18,,,,,,,,,,,,,,,,,16:51:02,16:51:02,,,16:46:00,16:46:00
intrv181020240000001,False,cp7,0,0,batteries du box telecom cp7 oxydées. remise en service du box telecom et ses équipements ,binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000005,,cintr137202400000002,projt572024000000001,2024-10-18,NaT,1,0,140,,,,NaT,,NaT,,,,,,,,,,,,,,,,,13:28:25,,,,,
intrv191120240000001,False,Gate A1,0,0,Vidange générateur du Gate A1,binary data,binary data,"Remplacement filtre à gasoil,à huile et à air.Remplacement huile moteur 15W40.Essai et remis en service générateur.",,2024-11-19,2024-11-19,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-11-19,2024-11-19,5,0,166,,0.0,,2024-11-19,1 day,2024-11-20,binary data,binary data,binary data,,,,,,,,,,,,,,15:37:11,15:37:11,15:32:00,15:32:00,15:32:00,15:32:00
intrv198202400000001,False,douala,0,0,preparer proposition d exercice pour chaque site exercice sûreté/sécurité. ,,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr128202400000001,projt188202400000014,2024-08-19,NaT,1,0,11,,,,NaT,,NaT,,,,,,,,,,,,,,,,,12:06:47,,,,,
intrv198202400000002,False,douala,0,0,preparer seminaries 2 jours sur la mise en place d exercice de formation pour les manager. preparer proposition pour le recrutement et la formations des nouveaux agents. ,,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr128202400000001,projt572024000000003,2024-08-19,NaT,1,0,12,,,,NaT,,NaT,,,,,,,,,,,,,,,,,14:21:41,,,,,
intrv201120240000001,False,Gate B2,0,0,"barrières cassées, caméras hors service pôles, 53,46 et 43",binary data,binary data,"remplacement de la barrière, remise en service des équipements.",,2024-11-20,2024-11-20,,,,,,agent189202400000003,agent189202400000003,agent189202400000003,cintr235202400000004,projt572024000000001,2024-11-20,2024-11-20,5,0,167,,0.0,,2024-11-20,1 day,2024-11-21,binary data,,,,,,,,,,,,,,,,09:35:02,09:35:02,09:31:00,09:31:00,09:31:00,09:31:00
intrv201120240000002,False,New archive,0,0,Réapprovisionnement ,binary data,binary data,Réapprovisionnement en gasoil générateur New archive .,,2024-11-20,2024-11-20,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-11-20,2024-11-20,5,0,168,,0.0,,2024-11-20,1 day,2024-11-21,binary data,,,,,,,,,,,,,,,,16:27:58,16:27:58,16:25:00,16:25:00,16:25:00,16:25:00
intrv211020240000001,False,CP16,0,0,une lampe intérieur du CP16 défectueuse ,binary data,binary data,remplacement de la lampe défectueuse ,,NaT,NaT,,,,,,agent189202400000003,agent189202400000003,agent189202400000003,cintr137202400000001,projt572024000000001,2024-10-21,2024-10-21,2,0,141,,0.0,,2024-10-21,1 day,2024-10-22,,,,,,,,,,,,,,,,,17:02:27,17:02:28,,,17:01:00,17:01:00
intrv219202400000001,False,siège PAD,0,0,images figées sur les écrans de la tour de contrôle; Nous avons redémarré l'unité centrale et tout est redevenu normal,binary data,binary data,Redémarrage du système ,,NaT,NaT,,,,,,agent189202400000003,agent189202400000003,agent189202400000003,cintr137202400000001,projt572024000000001,2024-09-21,2024-09-24,3,0,31,,0.0,,2024-09-23,01:00:00,2024-09-23,,,,,,,,,,,,,,,,,10:54:35,09:59:44,,,22:00:00,23:00:00
intrv221120240000001,False,Gate A3,0,0,Bras lavant cassé,binary data,binary data,Remplacement bras levant cassé boom barrière Gate A3,,2024-11-22,2024-11-22,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr137202400000001,projt572024000000001,2024-11-22,2024-11-22,5,0,169,,0.0,,2024-11-22,1 day,2024-11-23,,,,,,,,,,,,,,,,,17:01:37,17:01:37,17:00:00,17:00:00,17:00:00,17:00:00
intrv221120240000002,False,Générateur TR1 et TR2 Parc à bois,0,0,Vérification ,binary data,binary data,Vérification des paramètres des fonctionnement générateur TR1 et TR2.Prise des paramètres.,,2024-11-22,2024-11-22,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-11-22,2024-11-22,5,0,170,,0.0,,2024-11-22,1 day,2024-11-23,,,,,,,,,,,,,,,,,17:04:53,17:04:54,17:01:00,17:01:00,17:01:00,17:01:00
intrv228202400000001,False,A1,0,0,barrière cassé ,binary data,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr235202400000004,projt188202400000015,2024-08-22,NaT,1,0,13,,,,NaT,,NaT,,,,,,,,,,,,,,,,,09:18:36,,,,,
intrv228202400000002,True,b3,0,0,poteaux casser,binary data,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr235202400000004,projt188202400000015,2024-08-22,NaT,1,0,14,,,,NaT,,NaT,,,,,,,,,,,,,,,,,10:00:30,,,,,
intrv231020240000001,False,bona,0,0,test,,,,,NaT,NaT,,,,,,agent572024000000005,agent572024000000005,agent108202400000082,cintr231020240000001,projt572024000000001,2024-10-23,2024-10-23,2,2,142,,0.0,,2024-10-24,1 day,2024-10-25,,,,,,,,,,,,,,,,,16:59:54,17:01:30,,,00:00:00,00:00:00
intrv241020240000001,False,ptz pylone,0,0,nettoyage ,binary data,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr118202400000001,projt572024000000001,2024-10-24,NaT,1,0,143,,,,NaT,,NaT,,,,,,,,,,,,,,,,,10:29:11,,,,,
intrv241020240000002,False,TR2 Parc socomar,0,0,courroie alternateur de charge usée.,binary data,binary data,Remplacement courroie alternateur de charge.Essai et remise en service : OK,,2024-10-24,2024-10-24,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-10-24,2024-10-24,6,0,144,,0.0,,2024-10-24,1 day,2024-10-25,binary data,binary data,,,,,,,,,,,,,,,15:40:26,17:07:23,15:35:00,15:35:00,15:35:00,15:35:00
intrv241020240000003,False,TR2,0,0,Batterie défectuex,binary data,,Remplacement batterie 12V 100Ah .Vérification tension batterie: Ok,,2024-10-24,2024-10-24,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-10-24,2024-10-24,6,0,145,,0.0,,2024-10-24,1 day,2024-10-25,,,,,,,,,,,,,,,,,15:43:30,17:08:47,15:40:00,15:40:00,15:40:00,15:40:00
intrv241020240000004,False,New oil & gas,0,0,contrôlleur générateur en panne,binary data,binary data,remplacement côntrolleur générateur.vérification des paramètres:Ok,,2024-10-24,2024-10-24,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-10-24,2024-10-24,6,0,146,,0.0,,2024-10-24,1 day,2024-10-25,binary data,binary data,,,,,,,,,,,,,,,15:50:08,17:08:23,15:43:00,15:43:00,15:43:00,15:43:00
intrv241020240000005,False,New oil & gas,0,0,Vidange,binary data,binary data,Remplacement des filtres et huile moteur.Vérification de diffèrents paramètres.Essai à vide et en charge(RAS),,2024-10-24,2024-10-24,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-10-24,2024-10-24,6,0,147,,0.0,,2024-10-24,1 day,2024-10-25,binary data,,,,,,,,,,,,,,,,16:26:59,17:08:00,16:23:00,16:23:00,16:23:00,16:23:00
intrv241120240000001,False,task force building ,0,0,problème de fuite d'eau constate au niveau de la cuisine du premier étage ,binary data,binary data,nous avons couper l'eau a ce niveau pour évité que l'eau ne coule dans le bâtiment ,,2024-11-24,2024-11-24,attende du plombier ,,,,,agent189202400000004,agent189202400000004,agent189202400000004,cintr137202400000001,projt572024000000001,2024-11-24,2024-11-24,5,0,171,,0.0,,2024-11-24,1 day,2024-11-25,binary data,,,,,,,,,,,,,,,,07:40:23,07:40:23,07:37:00,07:37:00,07:37:00,07:37:00
intrv249202400000001,False,A2 seco,0,0,Vidange générateur.Vérification des paramètres électrique et mécanique.Essai générateur à vide et en charge.,,,,,NaT,NaT,,,,,,,agent179202400000002,,cintr137202400000001,projt572024000000001,2024-09-24,NaT,1,0,32,,,,NaT,,NaT,,,,,,,,,,,,,,,,,12:11:08,,,,,
intrv249202400000002,False,TFB,0,0,poignée de la porte auditorium défectueux.,binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000006,,cintr137202400000001,projt572024000000001,2024-09-24,NaT,1,0,33,,,,NaT,,NaT,,,,,,,,,,,,,,,,,12:13:12,,,,,
intrv249202400000003,False,RTC pôle 43,0,0,pôle 43 dépoussiérage.batteries oxydée,,binary data,,,NaT,NaT,,,,,,,agent189202400000006,,cintr137202400000001,projt572024000000001,2024-09-24,NaT,1,0,34,,,,NaT,,NaT,,,,,,,,,,,,,,,,,12:23:05,,,,,
intrv249202400000004,False,RTC,0,0,"maintenance des box télécom des pôles 47,48,49A et des box télécom de RTC.",binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000006,,cintr137202400000001,projt572024000000001,2024-09-24,NaT,1,0,35,,,,NaT,,NaT,,,,,,,,,,,,,,,,,12:32:58,,,,,
intrv249202400000005,False,parc à bois/ RTC,0,0,maintenance des box telecom des pôles du parc à bois et des pôles de RTC. N.B : les batteries du pôle 43 sont à remplacer,binary data,,,,NaT,NaT,,,,,,,agent189202400000005,,cintr137202400000002,projt572024000000001,2024-09-24,NaT,1,0,36,,,,NaT,,NaT,,,,,,,,,,,,,,,,,13:02:03,,,,,
intrv251020240000001,False,pôle 22 et pôle 24,0,0,Caméras down,binary data,binary data,Remise en service pôle 22 et 24.,,2024-10-25,2024-10-25,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr137202400000002,projt572024000000001,2024-10-25,2024-10-30,6,0,148,,0.0,,2024-10-25,1 day,2024-10-26,binary data,binary data,,,,,,,,,,,,,,,12:10:21,17:38:30,12:07:00,12:07:00,12:07:00,12:07:00
intrv269202400000001,False,Gate A3,0,0,"Vidange du générateur: remplacement des filtres à huile, filtre â gasoil, nettoyage filtreà Air, rattrapage liquide de refroidissement, nettoyage du générateur et et dépoussiérage du coffret électrique ",binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000003,,cintr137202400000001,projt572024000000001,2024-09-26,NaT,1,0,37,,,,NaT,,NaT,,,,,,,,,,,,,,,,,17:24:48,,,,,
intrv269202400000002,True,Gate A3,0,0,batteries oxydées : A chaque coupure d'électricité les barrières se bloquent et les caméras sont hors service. le système de production de titres d'accès est bloqué. besoin que ces batteries soient remplacées,binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000003,,cintr137202400000002,projt572024000000001,2024-09-26,NaT,1,0,38,,,,NaT,,NaT,,,,,,,,,,,,,,,,,17:28:38,,,,,
intrv279202400000001,False,A3,0,0,porte coffre barrière levante entrante endommagé ,,,,,NaT,NaT,,,,,,,agent189202400000004,,cintr137202400000001,projt572024000000001,2024-09-27,NaT,1,0,39,,,,NaT,,NaT,,,,,,,,,,,,,,,,,08:36:45,,,,,
intrv279202400000002,True,Pôle 50 Wood Terminal,0,0,Le box Telecom plante a chaque coupure d'électricité. ,,,,,NaT,NaT,,,,,,,agent179202400000001,,cintr137202400000001,projt572024000000001,2024-09-27,NaT,1,0,40,,,,NaT,,NaT,,,,,,,,,,,,,,,,,08:48:05,,,,,
intrv279202400000003,True,Gate A3,0,0,L'UPS du Telecom Box 2 plante à chaque coupure d'électricité. ce qui perturbe sérieusement la vente des accès journalier.,,,,,NaT,NaT,,,,,,,agent179202400000001,,cintr137202400000001,projt572024000000001,2024-09-27,NaT,1,0,41,,,,NaT,,NaT,,,,,,,,,,,,,,,,,08:50:11,,,,,
intrv279202400000004,False,pôle 50,0,0,caméra offline ,,,,,NaT,NaT,,,,,,,agent189202400000004,,cintr137202400000002,projt572024000000001,2024-09-27,NaT,1,0,42,,,,NaT,,NaT,,,,,,,,,,,,,,,,,09:08:06,,,,,
intrv279202400000005,False,pôle 23,0,0,caméra offline ,,,,,NaT,NaT,,,,,,,agent189202400000004,,cintr137202400000002,projt572024000000001,2024-09-27,NaT,1,0,43,,,,NaT,,NaT,,,,,,,,,,,,,,,,,09:13:54,,,,,
intrv279202400000006,False,pôle 50,0,0,onduleur planté; batteries oxydées nécessitant changement au plus vite ,binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000010,,cintr137202400000002,projt572024000000001,2024-09-27,NaT,1,0,44,,,,NaT,,NaT,,,,,,,,,,,,,,,,,11:09:08,,,,,
intrv279202400000007,False,pole23,0,0,"le Switch semble avoir perdu la configuration,nous menons un diagnostic plus poussé.",binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000010,,cintr137202400000002,projt572024000000001,2024-09-27,NaT,1,0,45,,,,NaT,,NaT,,,,,,,,,,,,,,,,,11:10:56,,,,,
intrv279202400000008,False,CP9,0,0,Vidange générateur.,binary data,binary data,,,NaT,NaT,,,,,,,agent179202400000002,,cintr137202400000001,projt572024000000001,2024-09-27,NaT,1,0,46,,,,NaT,,NaT,,,,,,,,,,,,,,,,,12:33:22,,,,,
intrv279202400000009,False,TFB,0,0,climatiseurs qui suinte,binary data,,test planning,,NaT,NaT,,,,,,agent108202400000006,agent269202400000001,agent108202400000009,cintr235202400000001,projt572024000000001,2024-09-27,2024-10-10,2,0,47,,0.0,,2024-10-11,05:00:00,2024-10-11,,,,,,,,,,,,,,,,,16:04:05,18:47:55,,,08:00:00,13:00:00
intrv289202400000001,False,A3,0,0,remplacement d'une lampe défectueuse Gate A3,binary data,,,,NaT,NaT,,,,,,,agent189202400000006,,cintr137202400000001,projt572024000000001,2024-09-28,NaT,1,0,48,,,,NaT,,NaT,,,,,,,,,,,,,,,,,15:37:29,,,,,
intrv289202400000002,False,B3,0,0,remplacement d'un lampe défectueuse Gate B3,binary data,,,,NaT,NaT,,,,,,,agent189202400000006,,cintr137202400000001,projt572024000000001,2024-09-28,NaT,1,0,49,,,,NaT,,NaT,,,,,,,,,,,,,,,,,15:40:42,,,,,
intrv289202400000003,False,A1,0,0,remplacement d'une lampe défectueuse Gate A1,binary data,,,,NaT,NaT,,,,,,,agent189202400000006,,cintr137202400000001,projt572024000000001,2024-09-28,NaT,1,0,50,,,,NaT,,NaT,,,,,,,,,,,,,,,,,15:42:39,,,,,
intrv289202400000004,False,TFB,0,0,"la cuisine RDC du TFB, ajout des boulons et ronde pour mieux fixer le robinet qui a été décroché.",binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000006,,cintr137202400000001,projt572024000000001,2024-09-28,NaT,1,0,51,,,,NaT,,NaT,,,,,,,,,,,,,,,,,15:53:25,,,,,
intrv298202400000001,True,BATIMENT DES ARCHIVES,0,0,Finalisation des travaux d'étancheité sur toiture batiment des archives dans la zone Salle de traitement + Correction des Parties de Placo endommagés suite aux infiltrations des eaux,,,METTRE LA FLASH BANDE OU IL EXISTE L'ECOULEMENT D'EAU,,NaT,NaT,,,,,,agent982024000000001,agent982024000000001,,cintr137202400000004,projt188202400000007,2024-08-29,2024-09-02,2,1,15,,1.0,,NaT,,NaT,,,,,,,,,,,,,,,,,11:00:02,17:26:59,,,,
intrv298202400000002,True,DOMAINE PORTUAIRE,0,0,Pose des panneaux signalétiques validés dans le domaine portuaire (Implantation+ Pose sur site),binary data,binary data,UTULISER LES PLANS POUR FAIRE LES FONDATIONS,,NaT,NaT,,,,,,agent117202400000005,agent982024000000001,,cintr137202400000004,projt188202400000007,2024-08-29,2024-09-02,2,1,16,,1.0,,NaT,,NaT,,,,,,,,,,,,,,,,,11:01:44,17:18:08,,,,
intrv298202400000003,True,DANGOTE,0,0,Pose des pales sur cloture Impass II enlevés dans la zone DANGOTE,binary data,binary data,METTRE DES NOUVEAUX BOULONS SINON SOUDER ,,NaT,NaT,,,,,,agent117202400000006,agent982024000000001,,cintr137202400000004,projt188202400000007,2024-08-29,2024-09-02,2,1,17,,1.0,,NaT,,NaT,,,,,,,,,,,,,,,,,11:03:52,16:59:23,,,,
intrv298202400000004,False,immeuble siège 7eme etages,0,0,issue de secours défectueux ,binary data,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr137202400000001,projt188202400000007,2024-08-29,NaT,1,0,18,,,,NaT,,NaT,,,,,,,,,,,,,,,,,11:59:35,,,,,
intrv308202400000001,False,dps,0,0,refaire sticker vhl,binary data,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr235202400000002,projt188202400000007,2024-08-30,NaT,1,0,19,,,,NaT,,NaT,,,,,,,,,,,,,,,,,08:27:53,,,,,
intrv310202400000001,False,tg1,0,0,problème avec la barrière levante ,binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000004,,cintr137202400000001,projt572024000000001,2024-10-03,NaT,1,0,52,,,,NaT,,NaT,,,,,,,,,,,,,,,,,18:12:18,,,,,
intrv311020240000001,False,TR2 Parc socomar,0,0,Générateur tourne en continue.presence alarme fail to stop sur le controller,binary data,,"Vérification du câblage électrique,selinoïde pompe à injection et la pompe à gasoil.Pompe à gasoil ne fonctionne pas normalement et besoin d'étre remplacer.",,2024-10-31,2024-10-31,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-10-31,2024-10-31,5,0,149,,0.0,,2024-10-31,1 day,2024-11-01,,,,,,,,,,,,,,,,,15:17:38,15:17:38,15:11:00,15:11:00,15:11:00,15:11:00
intrv410202400000001,False,pôle 17 et pôle 18 ,0,0,batterie oxydé ,binary data,binary data,,,NaT,NaT,,,,,,,agent189202400000004,,cintr137202400000002,projt572024000000001,2024-10-04,NaT,1,0,53,,,,NaT,,NaT,,,,,,,,,,,,,,,,,07:37:36,,,,,
intrv492024000000001,False,a1,0,0,remettre Jersey plus peinture,binary data,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr137202400000001,,2024-09-04,NaT,1,0,20,,,,NaT,,NaT,,,,,,,,,,,,,,,,,09:32:54,,,,,
intrv711202400000001,False,cp1,0,0,camera non visuel,binary data,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr235202400000006,projt572024000000001,2024-11-07,NaT,1,0,151,,,,NaT,,NaT,,,,,,,,,,,,,,,,,09:51:45,,,,,
intrv711202400000002,False,New Archive,0,0,Niveau gasoil réserve bas.,binary data,binary data,Réapprovisionnement générateur New Archive en gasoil 1000litres.,,2024-11-07,2024-11-07,,,,,,agent179202400000002,agent179202400000002,agent179202400000002,cintr241020240000001,projt572024000000001,2024-11-07,2024-11-16,6,0,152,,0.0,,2024-11-07,1 day,2024-11-08,binary data,binary data,binary data,,,,,,,,,,,,,,16:29:08,11:20:05,16:26:00,16:26:00,16:26:00,16:26:00
intrv792024000000001,False,bessengue,0,0,mettre une clôture provisoire sur check point brûler. ,,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr137202400000004,projt572024000000003,2024-09-07,NaT,1,0,21,,,,NaT,,NaT,,,,,,,,,,,,,,,,,01:34:19,,,,,
intrv810202400000001,True,test,0,0,test pb,,,test solution,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr235202400000003,projt572024000000005,2024-10-08,2024-10-08,2,0,54,,0.0,,2024-10-08,1 day,2024-10-09,,,,,,,,,,,,,,,,,00:54:12,00:54:13,,,00:50:00,00:50:00
intrv810202400000002,False,rzs 2,0,0,rad,,,ras,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr118202400000001,projt572024000000001,2024-10-08,2024-10-08,2,0,55,,0.0,,2024-10-08,2 days,2024-10-10,,,,,,,,,,,,,,,,,01:23:53,01:23:54,,,01:21:00,01:21:00
intrv811202400000001,False,Gate B1,0,0,problème de court-circuit éclairage intérieur du box Gate B1,binary data,binary data,remplacement du câble électrique et recablage de l'installation ,,2024-11-08,2024-11-08,,,,,,agent189202400000003,agent189202400000003,agent189202400000003,cintr137202400000001,,2024-11-08,2024-11-08,6,0,153,,0.0,,2024-11-08,1 day,2024-11-09,,,,,,,,,,,,,,,,,16:00:21,16:10:37,15:57:00,15:57:00,15:57:00,15:57:00
intrv811202400000002,False,Gate B1,0,0,absence de lumière à l'intérieur du box Gate B1,binary data,binary data,passage d'un nouveau câble et cablage du circuit d'éclairage.,,2024-11-08,2024-11-08,,,,,,agent189202400000003,agent189202400000003,agent189202400000003,cintr137202400000001,projt572024000000001,2024-11-08,2024-11-08,6,0,154,,0.0,,2024-11-08,1 day,2024-11-09,binary data,,,,,,,,,,,,,,,,16:05:21,16:10:17,16:03:00,16:03:00,16:03:00,16:03:00
intrv992024000000001,False,kribi,0,0,recyclage,,,recyclage,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000002,2024-09-09,2024-09-09,2,0,22,,0.0,,2024-09-18,08:00:00,2024-09-18,,,,,,,,,,,,,,,,,12:03:41,12:16:19,,,07:00:00,15:00:00
intrv992024000000002,False,kribi,0,0,recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000002,2024-09-09,2024-09-09,2,0,23,,0.0,,2024-09-20,08:00:00,2024-09-20,,,,,,,,,,,,,,,,,12:06:15,12:15:27,,,07:00:00,15:00:00
intrv992024000000003,False,kribi,0,0,exercice,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000002,2024-09-09,2024-09-09,2,0,24,,0.0,,2024-09-20,02:00:00,2024-09-21,,,,,,,,,,,,,,,,,12:07:38,12:14:16,,,23:00:00,01:00:00
intrv992024000000004,False,dps,0,0,recyclage,,,SM1,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-09-09,2024-09-09,2,0,25,,0.0,,2024-09-18,08:00:00,2024-09-18,,,,,,,,,,,,,,,,,12:17:12,12:23:54,,,07:00:00,15:00:00
intrv992024000000005,False,dps,0,0,recyclage,,,SM3,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-09-09,2024-09-09,2,0,26,,0.0,,2024-09-19,08:00:00,2024-09-20,,,,,,,,,,,,,,,,,12:17:33,12:23:12,,,23:00:00,07:00:00
intrv992024000000006,False,dps,0,0,simulation d intrusion,,,EXERCICE,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000001,2024-09-09,2024-09-09,2,0,27,,0.0,,2024-09-23,01:00:00,2024-09-23,,,,,,,,,,,,,,,,,12:18:02,12:24:31,,,22:00:00,23:00:00
intrv992024000000007,False,dps,0,0,recyclages SM2,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-09-09,2024-09-09,2,0,28,,0.0,,2024-09-22,08:00:00,2024-09-22,,,,,,,,,,,,,,,,,12:20:36,12:21:08,,,07:00:00,15:00:00
