codevehicule,nom,fabricant,immat,observ,statut,motif,vidange,marge,total,image,avant,droite,gauche,descr,codetvehicule,codecvehicule,codesecteur,datecrea,dateupda,etat,card,ord,arriere,pvidange,datelimassur,datelimvisite,datelimcarteg,datelimstat,fichier1,fichier2,fichier3,fichier4,fichier5,fichier6,fichier7,fichier8,details,position,longitude,latitude,prixpjour,prixpheure,prixpkm,location,reservation,dpc,garage,transmat,agentchauffeur
vehic128202400000006,LAND CRUISER 50,TOYOTA,CE 304 LR,,1,,102226,200,1006,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12 18:33:01.493127,2024-08-12 19:05:16.303212,1,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
vehic128202400000007,LAND CRUISER 60,TOYOTA,CE 156 LD,ABS et L'anti patinage s'affichent sur le tableau de bord.le gyrophare hs,3,,105528,200,106631,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12 18:33:01.493127,2024-08-12 19:04:48.870791,2,9,87,,105624.0,,,,,,,,,,,,,,,,,,,,,,,,,
vehic128202400000010,LAND CRUISER 70,TOYOTA,CE 160 LD,,1,,120337,200,1010,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12 18:33:01.493127,2024-08-12 19:03:13.262743,1,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
